巨人,阪神,横浜,広島,オリックス,ソフトバンク,中日,ロッテ,西武,楽天
進撃の巨人,阪神競馬,選抜高校野球大会,広島お好み焼き,倉庫,NBA,相撲,韓国ロッテジャイアンツ,株式会社西武・プリンスホテルズワールドワイド,プロレス
オール巨人,阪神淡路大震災,横浜高校,広島商,クルマ,バスケットボール,ローリング,ロッテシネマ,西武園,楽天市場
オール阪神,オール阪神,横浜工場,広島県,オリックス生命保険,量子コンピューター,競馬,,新富良野プリンスホテル,フィラデルフィア・イーグルス
巨人の星,競馬,横浜アリーナ,,オリックス劇場,,ボクシング,,西武鉄道,楽天モンキーズ
知の巨人,WIN5,横浜清陵,,オリックスリース,,卓球,,狭山西武ボーイズ,楽天のECサイト
巨人様,力士,横浜流星,,シロオリックス,,囲碁,,女子野球,楽天グループ
ジュニア,馬,日経,,オリックス神戸三宮ビル,,版,,,レッドイーグルス
ＷＥリーグ,京阪神,プライム,,オリックスレンタカー,,マラソン,,,楽天ガールズ
棋聖,デトロイト,東証,,オリックス・レンテック,,中日本,,,楽天スーパーレディース
囲碁,阪神梅田,出来高,,オリックス株式会社,,中日クラウンズ,,,楽天ブックス
将棋,阪神ダート,値上がり,,オリックス銀行,,,,,楽天シンフォニー株式会社
読売テレビ,阪神大学,株,,オリックス資源循環,,,,,上田あやせ
バレー,阪神大賞典,値下がり,,オリックス自動車,,,,,楽天チケット
ＳｉｎｇｌｅＳｔｙｌｅ,秋田県知事,,,東証グロ－ス,,,,,楽天ヴィッセル神戸
韓国ロッテジャイアンツ,ベルギー王室,,,ORIX HOTELS & RESORTS,,,,,楽天証券
サンフランシスコ・ジャイアンツ,,,,テク,,,,,
イ・ジョンフ,,,,海外市場動向,,,,,
読売仙台ビル,,,,決算速報,,,,,
白い巨人,,,,株,,,,,
ケンミンショー,,,,市況,,,,,
ダウンタウンdx,,,,オリックス不動産,,,,,
競馬,,,,オリックス・ホテルマネジメント株式会社,,,,,
JO1,,,,,,,,,
